162,137,6
450,619,6
269,521,6
588,467,6
471,11,6
148,611,6
901,741,6
743,581,6
1013,629,6
95,295,6
308,591,6
613,477,6
117,185,6
271,15,6
792,476,6
346,349,6
446,31,6
684,115,6
87,591,6
844,207,6
36,695,6
475,656,6
111,615,6
489,638,6
206,788,6
267,363,6
894,344,6
615,761,6
597,385,6
606,149,6
801,495,6
895,158,6
157,782,6
579,244,6
226,503,6
841,794,6
513,415,6
463,284,6
106,518,6
859,555,6
598,229,6
333,324,6
848,385,6
453,119,6
358,145,6
46,9,6
255,453,6
666,221,6
682,314,6
266,145,6
943,572,6
403,562,6
578,150,6
48,364,6
636,479,6
261,281,6
459,177,6
350,186,6
770,590,6
723,54,6
58,244,6
809,6,6
355,59,6
211,258,6
972,63,6
673,396,6
988,680,6
611,786,6
519,65,6
973,489,6
983,597,6
797,724,6
325,563,6
963,536,6
744,142,6
233,771,6
652,749,6
77,441,6
21,320,6
405,258,6
515,271,6
1010,173,6
424,567,6
151,305,6
1012,496,6
548,272,6
691,641,6
76,485,6
766,462,6
852,161,6
