547,605,6
571,709,6
610,361,6
50,344,6
760,560,6
284,333,6
102,254,6
416,738,6
825,334,6
335,778,6
282,53,6
925,403,6
539,210,6
533,714,6
95,164,6
775,81,6
563,409,6
67,25,6
629,456,6
265,465,6
788,573,6
887,467,6
288,75,6
686,677,6
257,371,6
765,305,6
319,224,6
451,714,6
736,598,6
803,248,6
393,641,6
618,335,6
894,9,6
346,447,6
639,278,6
882,605,6
972,322,6
836,586,6
88,770,6
394,266,6
235,449,6
359,484,6
393,392,6
217,275,6
403,714,6
392,70,6
405,170,6
409,351,6
518,776,6
14,732,6
444,451,6
718,613,6
848,22,6
113,207,6
696,568,6
311,253,6
479,347,6
838,366,6
428,778,6
696,171,6
