804,509,12
595,273,12
372,607,12
58,273,12
585,143,12
229,647,12
845,89,12
42,407,12
651,710,12
361,770,12
16,785,12
155,604,12
868,70,12
691,46,12
45,309,12
431,474,12
933,706,12
534,753,12
94,61,12
531,40,12
266,89,12
100,17,12
919,446,12
788,91,12
93,640,12
270,366,12
452,350,12
241,256,12
304,658,12
977,230,12
844,660,12
832,406,12
183,200,12
180,234,12
805,685,12
499,265,12
619,145,12
984,88,12
734,180,12
270,203,12
246,492,12
63,717,12
262,712,12
489,365,12
83,575,12
416,173,12
229,86,12
393,390,12
17,633,12
208,44,12
464,450,12
331,619,12
505,407,12
148,60,12
730,13,12
551,129,12
212,726,12
432,572,12
416,320,12
106,667,12
810,543,12
628,206,12
378,91,12
757,122,12
701,700,12
851,317,12
710,551,12
127,405,12
782,284,12
431,397,12
316,239,12
577,17,12
498,486,12
324,351,12
530,556,12
530,515,12
746,85,12
996,533,12
715,115,12
115,728,12
944,665,12
146,248,12
205,634,12
22,510,12
336,465,12
155,773,12
968,713,12
178,562,12
810,158,12
124,635,12
