162,752,18
914,175,18
101,588,18
957,259,18
450,592,18
285,397,18
852,370,18
258,63,18
126,775,18
480,62,18
170,27,18
41,232,18
54,334,18
876,703,18
294,18,18
200,259,18
184,651,18
255,280,18
589,754,18
383,646,18
176,396,18
917,362,18
731,475,18
853,263,18
599,529,18
359,326,18
360,699,18
746,553,18
77,392,18
483,361,18
797,123,18
760,512,18
964,32,18
72,92,18
708,348,18
416,150,18
112,638,18
19,701,18
361,51,18
565,563,18
424,635,18
883,549,18
88,756,18
755,741,18
122,36,18
50,441,18
1005,323,18
485,668,18
510,302,18
829,609,18
715,619,18
754,415,18
444,231,18
122,179,18
412,518,18
617,323,18
742,81,18
957,631,18
425,414,18
362,478,18
